source	approved_ru	category	sense_ruleset	gender_animacy	forms	capitalization	scope	forbidden_variants	status	enforce	evidence	origin_unit	reviewer	decision_date	notes
Ismark Kolyanovich	Исмарк Колянович	proper-name	setting character	masculine animate	Исмарка Коляновича;Исмарку Коляновичу;Исмарком Коляновичем;Исмарке Коляновиче	capitalized	global	Иcмарк Колянович	approved	yes	Act I - Into the Mists/Arc B - Welcome to Barovia.md plus legacy mixed-script audit	workflow-quality-refresh	workflow-quality-audit	2026-07-12	Reject the mixed-script legacy spelling with Latin c.
Ismark	Исмарк	proper-name	setting character	masculine animate	Исмарка;Исмарку;Исмарком;Исмарке	capitalized	global	Иcмарк	approved	yes	corpus-wide recurring name plus legacy mixed-script audit	workflow-quality-refresh	workflow-quality-audit	2026-07-12	Reject the mixed-script legacy spelling with Latin c.
Vallaki	Валлаки	place	setting	indeclinable	Валлаки	capitalized	global		approved	yes	corpus-wide location	workflow-baseline	initial-domain-audit	2026-07-11	
Krezk	Крезк	place	setting	masculine inanimate	Крезка;Крезку;Крезком;Крезке	capitalized	global		approved	yes	corpus-wide location	workflow-baseline	initial-domain-audit	2026-07-11	
Tarokka	Тарокка	setting-term	card deck	feminine inanimate	Тарокки;Тарокке;Тарокку;Тароккой	capitalized when deck name	global		approved	yes	Chapter 3 - Running the Game/Running the Adventure.md	workflow-baseline	initial-domain-audit	2026-07-11	
player	игрок / персонаж (по референту)	contextual-rule	GM prose	context-sensitive	игрок — человек за столом; персонаж — действующее лицо в мире	lowercase	global		approved	no	corpus-wide predicate audit	workflow-baseline	initial-domain-audit	2026-07-11	A reviewed semantic rule, never a global lexical replacement.
ability check	проверка характеристики	rules-term	D&D 5e 2014		проверки характеристики;проверку характеристики	lowercase	global		provisional	no	widely used Russian D&D term; exact 2014 authority pending	workflow-baseline	initial-domain-audit		Inflect normally; verify before first binding use.
saving throw	спасбросок	rules-term	D&D 5e 2014	masculine inanimate	спасброска;спасброску;спасброском	lowercase	global		provisional	no	widely used Russian D&D term; exact 2014 authority pending	workflow-baseline	initial-domain-audit		Verify before first binding use.
attack roll	бросок атаки	rules-term	D&D 5e 2014	masculine inanimate	броска атаки;броску атаки	lowercase	global		provisional	no	widely used Russian D&D term; exact 2014 authority pending	workflow-baseline	initial-domain-audit		Verify before first binding use.
Armor Class	Класс Доспеха	rules-term	D&D 5e 2014	masculine inanimate	Класса Доспеха	capitalized in statblock label	global		provisional	no	English Bestiary label; exact Russian 2014 authority pending	workflow-baseline	initial-domain-audit		Candidate abbreviation: КД.
Hit Points	Хиты	rules-term	D&D 5e 2014	plural	хитов;хитам	capitalized in statblock label	global		provisional	no	English Bestiary label; exact Russian 2014 authority pending	workflow-baseline	initial-domain-audit		Use normal sentence casing if approved.
Difficulty Class	Сложность	rules-term	D&D 5e 2014	feminine inanimate	Сложности	capitalized in label	global		provisional	no	widely used Russian D&D term; exact 2014 authority pending	workflow-baseline	initial-domain-audit		Candidate abbreviation: Сл.
DC	Сл	rules-abbreviation	D&D 5e 2014		Сл	case-sensitive display	global		provisional	no	corpus-wide English mechanics; exact Russian 2014 authority pending	workflow-baseline	initial-domain-audit		Numeric value remains unchanged.
AC	КД	rules-abbreviation	D&D 5e 2014		КД	uppercase	global		provisional	no	corpus-wide English mechanics; exact Russian 2014 authority pending	workflow-baseline	initial-domain-audit		
HP	хиты	rules-abbreviation	D&D 5e 2014		хиты	contextual casing	global		provisional	no	corpus-wide English mechanics; exact Russian 2014 authority pending	workflow-baseline	initial-domain-audit		
STR	СИЛ	rules-abbreviation	D&D 5e 2014 ability		СИЛ	uppercase	statblocks		provisional	no	English Bestiary label; exact Russian 2014 authority pending	workflow-baseline	initial-domain-audit		
DEX	ЛОВ	rules-abbreviation	D&D 5e 2014 ability		ЛОВ	uppercase	statblocks		provisional	no	English Bestiary label; exact Russian 2014 authority pending	workflow-baseline	initial-domain-audit		
CON	ТЕЛ	rules-abbreviation	D&D 5e 2014 ability		ТЕЛ	uppercase	statblocks		provisional	no	English Bestiary label; exact Russian 2014 authority pending	workflow-baseline	initial-domain-audit		
INT	ИНТ	rules-abbreviation	D&D 5e 2014 ability		ИНТ	uppercase	statblocks		provisional	no	English Bestiary label; exact Russian 2014 authority pending	workflow-baseline	initial-domain-audit		
WIS	МДР	rules-abbreviation	D&D 5e 2014 ability		МДР	uppercase	statblocks		provisional	no	English Bestiary label; exact Russian 2014 authority pending	workflow-baseline	initial-domain-audit		
CHA	ХАР	rules-abbreviation	D&D 5e 2014 ability		ХАР	uppercase	statblocks		provisional	no	English Bestiary label; exact Russian 2014 authority pending	workflow-baseline	initial-domain-audit		
advantage	преимущество	rules-term	D&D 5e 2014	neuter inanimate	преимущества;преимуществом	lowercase	global		provisional	no	widely used Russian D&D term; exact 2014 authority pending	workflow-baseline	initial-domain-audit		
disadvantage	помеха	rules-term	D&D 5e 2014	feminine inanimate	помехи;помехой	lowercase	global		provisional	no	widely used Russian D&D term; exact 2014 authority pending	workflow-baseline	initial-domain-audit		
short rest	короткий отдых	rules-term	D&D 5e 2014	masculine inanimate	короткого отдыха;коротком отдыхе	lowercase	global		provisional	no	widely used Russian D&D term; exact 2014 authority pending	workflow-baseline	initial-domain-audit		
long rest	продолжительный отдых	rules-term	D&D 5e 2014	masculine inanimate	продолжительного отдыха;продолжительном отдыхе	lowercase	global		provisional	no	widely used Russian D&D term; exact 2014 authority pending	workflow-baseline	initial-domain-audit		
spell slot	ячейка заклинаний	rules-term	D&D 5e 2014	feminine inanimate	ячейки заклинаний;ячейку заклинаний	lowercase	global		provisional	no	widely used Russian D&D term; exact 2014 authority pending	workflow-baseline	initial-domain-audit		
temporary hit points	временные хиты	rules-term	D&D 5e 2014	plural	временных хитов	lowercase	global		provisional	no	widely used Russian D&D term; exact 2014 authority pending	workflow-baseline	initial-domain-audit		
proficiency bonus	бонус мастерства	rules-term	D&D 5e 2014	masculine inanimate	бонуса мастерства;бонусу мастерства	lowercase	global		provisional	no	English Bestiary label; exact Russian 2014 authority pending	workflow-baseline	initial-domain-audit		
